Retail Order ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Postal Code,Country,City,State,Region,latitude,longitude,Retail Sales People,Product ID,Product Name,Sub-Category,Category,Returned,Sales,Quantity,Discount,Profit,Cost,Unit CP,Unit SP,Days
29,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Binders,Office Supplies,Not,"9,618",2,"0,7","-7,0532","16,6712","8,3356","4,809",4
30,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,Furniture,Not,"124,2",3,"0,2","15,525","108,675","36,225","41,4",4
31,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,OFF-EN-10001509,Poly String Tie Envelopes,Envelopes,Office Supplies,Not,"3,264",2,"0,2","1,1016","2,1624","1,0812","1,632",4
32,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,Office Supplies,Not,"86,304",6,"0,2","9,7092","76,5948","12,7658","14,384",4
33,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,Office Supplies,Not,"6,858",6,"0,7","-5,715","12,573","2,0955","1,143",4
34,US-2015-150630,9/17/15 0:00,9/21/15 0:00,Standard Class,TB-21520,Tracy Blumstein,Consumer,19140,United States,Philadelphia,Pennsylvania,East,"41,203322","-77,194525",Chuck Magee,OFF-AR-10001683,Lumber Crayons,Art,Office Supplies,Not,"15,76",2,"0,2","3,546","12,214","6,107","7,88",4
35,CA-2017-107727,10/19/17 0:00,10/23/17 0:00,Second Class,MA-17560,Matt Abelman,Home Office,77095,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-PA-10000249,Easy-staple paper,Paper,Office Supplies,Not,"29,472",3,"0,2","9,9468","19,5252","6,5084","9,824",4
36,CA-2016-117590,8/12/16 0:00,10/12/16 0:00,First Class,GH-14485,Gene Hale,Corporate,75080,United States,Richardson,Texas,Central,"31,968599","-99,901813",Kelly Williams,TEC-PH-10004977,GE 30524EE4,Phones,Technology,Not,"1097,544",7,"0,2","123,4737","974,0703","139,1529","156,792",61
37,CA-2016-117590,8/12/16 0:00,10/12/16 0:00,First Class,GH-14485,Gene Hale,Corporate,75080,United States,Richardson,Texas,Central,"31,968599","-99,901813",Kelly Williams,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,Furniture,Not,"190,92",5,"0,6","-147,963","338,883","67,7766","38,184",61
38,CA-2015-117415,12/27/15 0:00,12/31/15 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Office Supplies,Not,"113,328",9,"0,2","35,415","77,913","8,657","12,592",4
39,CA-2015-117415,12/27/15 0:00,12/31/15 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,Furniture,Not,"532,3992",3,"0,32","-46,9764","579,3756","193,1252","177,4664",4
40,CA-2015-117415,12/27/15 0:00,12/31/15 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Chairs,Furniture,Not,"212,058",3,"0,3","-15,147","227,205","75,735","70,686",4
41,CA-2015-117415,12/27/15 0:00,12/31/15 0:00,Standard Class,SN-20710,Steve Nguyen,Home Office,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Phones,Technology,Not,"371,168",4,"0,2","41,7564","329,4116","82,3529","92,792",4
42,CA-2017-120999,10/9/17 0:00,10/9/17 0:00,Standard Class,LC-16930,Linda Cazamias,Corporate,60540,United States,Naperville,Illinois,Central,"40,633125","-89,398528",Kelly Williams,TEC-PH-10004093,Panasonic Kx-TS550,Phones,Technology,Not,"147,168",4,"0,2","16,5564","130,6116","32,6529","36,792",0
43,CA-2016-101343,7/17/16 0:00,7/22/16 0:00,Standard Class,RA-19885,Ruben Ausman,Corporate,90049,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Storage,Office Supplies,Not,"77,88",2,0,"3,894","73,986","36,993","38,94",5
44,CA-2017-139619,9/19/17 0:00,9/23/17 0:00,Standard Class,ES-14080,Erin Smith,Corporate,32935,United States,Melbourne,Florida,South,"27,664827","-81,515754",Cassandra Brandow,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,Office Supplies,Not,"95,616",2,"0,2","9,5616","86,0544","43,0272","47,808",4
45,CA-2016-118255,11/3/16 0:00,11/3/16 0:00,First Class,ON-18715,Odella Nelson,Corporate,55122,United States,Eagan,Minnesota,Central,"46,729553","-94,6859",Kelly Williams,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,Technology,Not,"45,98",2,0,"19,7714","26,2086","13,1043","22,99",0
46,CA-2016-118255,11/3/16 0:00,11/3/16 0:00,First Class,ON-18715,Odella Nelson,Corporate,55122,United States,Eagan,Minnesota,Central,"46,729553","-94,6859",Kelly Williams,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,Office Supplies,Not,"17,46",2,0,"8,2062","9,2538","4,6269","8,73",0
47,CA-2014-146703,10/20/14 0:00,10/25/14 0:00,Second Class,PO-18865,Patrick O'Donnell,Consumer,48185,United States,Westland,Michigan,Central,"44,314844","-85,602364",Kelly Williams,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,Office Supplies,Not,"211,96",4,0,"8,4784","203,4816","50,8704","52,99",5
48,CA-2016-169194,6/20/16 0:00,6/25/16 0:00,Standard Class,LH-16900,Lena Hernandez,Consumer,19901,United States,Dover,Delaware,East,"38,910832","-75,52767",Chuck Magee,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,Technology,Not,45,3,0,"4,95","40,05","13,35",15,5
49,CA-2016-169194,6/20/16 0:00,6/25/16 0:00,Standard Class,LH-16900,Lena Hernandez,Consumer,19901,United States,Dover,Delaware,East,"38,910832","-75,52767",Chuck Magee,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,Technology,Not,"21,8",2,0,"6,104","15,696","7,848","10,9",5
50,CA-2015-115742,4/18/15 0:00,4/22/15 0:00,Standard Class,DP-13000,Darren Powers,Consumer,47150,United States,New Albany,Indiana,Central,"40,551217","-85,602364",Kelly Williams,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,Office Supplies,Not,"38,22",6,0,"17,9634","20,2566","3,3761","6,37",4
51,CA-2015-115742,4/18/15 0:00,4/22/15 0:00,Standard Class,DP-13000,Darren Powers,Consumer,47150,United States,New Albany,Indiana,Central,"40,551217","-85,602364",Kelly Williams,OFF-LA-10002762,Avery 485,Labels,Office Supplies,Not,"75,18",6,0,"35,3346","39,8454","6,6409","12,53",4
52,CA-2015-115742,4/18/15 0:00,4/22/15 0:00,Standard Class,DP-13000,Darren Powers,Consumer,47150,United States,New Albany,Indiana,Central,"40,551217","-85,602364",Kelly Williams,FUR-FU-10001706,Longer-Life Soft White Bulbs,Furnishings,Furniture,Not,"6,16",2,0,"2,9568","3,2032","1,6016","3,08",4
53,CA-2015-115742,4/18/15 0:00,4/22/15 0:00,Standard Class,DP-13000,Darren Powers,Consumer,47150,United States,New Albany,Indiana,Central,"40,551217","-85,602364",Kelly Williams,FUR-CH-10003061,"Global Leather Task Chair, Black",Chairs,Furniture,Not,"89,99",1,0,"17,0981","72,8919","72,8919","89,99",4
54,CA-2016-105816,11/12/16 0:00,12/17/16 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,10024,United States,New York City,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-FA-10000304,Advantus Push Pins,Fasteners,Office Supplies,Not,"15,26",7,0,"6,2566","9,0034","1,2862","2,18",35
55,CA-2016-105816,11/12/16 0:00,12/17/16 0:00,Standard Class,JM-15265,Janet Molinari,Corporate,10024,United States,New York City,New York,East,"43,299428","-74,217933",Chuck Magee,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Phones,Technology,Not,"1029,95",5,0,"298,6855","731,2645","146,2529","205,99",35
56,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-ST-10000604,Home/Office Personal File Carts,Storage,Office Supplies,Yes,"208,56",6,0,"52,14","156,42","26,07","34,76",1
57,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-PA-10001569,Xerox 232,Paper,Office Supplies,Yes,"32,4",5,0,"15,552","16,848","3,3696","6,48",1
58,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,FUR-CH-10003968,Novimex Turbo Task Chair,Chairs,Furniture,Yes,"319,41",5,"0,1","7,098","312,312","62,4624","63,882",1
59,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Paper,Office Supplies,Yes,"14,56",2,0,"6,9888","7,5712","3,7856","7,28",1
60,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Accessories,Technology,Yes,30,2,0,"3,3","26,7","13,35",15,1
61,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-BI-10001460,Plastic Binding Combs,Binders,Office Supplies,Yes,"48,48",4,"0,2","16,362","32,118","8,0295","12,12",1
62,CA-2016-111682,6/17/16 0:00,6/18/16 0:00,First Class,TB-21055,Ted Butterfield,Consumer,12180,United States,Troy,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-AR-10001868,Prang Dustless Chalk Sticks,Art,Office Supplies,Yes,"1,68",1,0,"0,84","0,84","0,84","1,68",1
63,CA-2015-135545,11/24/15 0:00,11/30/15 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,90004,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,Technology,Not,"13,98",2,0,"6,1512","7,8288","3,9144","6,99",6
64,CA-2015-135545,11/24/15 0:00,11/30/15 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,90004,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,Office Supplies,Not,"25,824",6,"0,2","9,3612","16,4628","2,7438","4,304",6
65,CA-2015-135545,11/24/15 0:00,11/30/15 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,90004,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,OFF-PA-10003892,Xerox 1943,Paper,Office Supplies,Not,"146,73",3,0,"68,9631","77,7669","25,9223","48,91",6
66,CA-2015-135545,11/24/15 0:00,11/30/15 0:00,Standard Class,KM-16720,Kunst Miller,Consumer,90004,United States,Los Angeles,California,West,"36,778261","-119,417932",Anna Andreadi,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furnishings,Furniture,Not,"79,76",4,0,"22,3328","57,4272","14,3568","19,94",6
67,US-2015-164175,4/30/15 0:00,5/5/15 0:00,Standard Class,PS-18970,Paul Stevenson,Home Office,60610,United States,Chicago,Illinois,Central,"40,633125","-89,398528",Kelly Williams,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Chairs,Furniture,Not,"213,115",5,"0,3","-15,2225","228,3375","45,6675","42,623",5
68,CA-2014-106376,5/12/14 0:00,10/12/14 0:00,Standard Class,BS-11590,Brendan Sweed,Corporate,85234,United States,Gilbert,Arizona,West,"34,048928","-111,093731",Anna Andreadi,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,Office Supplies,Not,"1113,024",8,"0,2","111,3024","1001,7216","125,2152","139,128",153
69,CA-2014-106376,5/12/14 0:00,10/12/14 0:00,Standard Class,BS-11590,Brendan Sweed,Corporate,85234,United States,Gilbert,Arizona,West,"34,048928","-111,093731",Anna Andreadi,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Phones,Technology,Not,"167,968",4,"0,2","62,988","104,98","26,245","41,992",153
70,CA-2016-119823,4/6/16 0:00,6/6/16 0:00,First Class,KD-16270,Karen Daniels,Consumer,22153,United States,Springfield,Virginia,South,"37,431573","-78,656894",Cassandra Brandow,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,Office Supplies,Not,"75,88",2,0,"35,6636","40,2164","20,1082","37,94",61
71,CA-2016-106075,9/18/16 0:00,9/23/16 0:00,Standard Class,HM-14980,Henry MacAllister,Consumer,10009,United States,New York City,New York,East,"43,299428","-74,217933",Chuck Magee,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,Office Supplies,Not,"4,616",1,"0,2","1,731","2,885","2,885","4,616",5
72,CA-2017-114440,9/14/17 0:00,9/17/17 0:00,Second Class,TB-21520,Tracy Blumstein,Consumer,49201,United States,Jackson,Michigan,Central,"44,314844","-85,602364",Kelly Williams,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Office Supplies,Not,"19,05",3,0,"8,763","10,287","3,429","6,35",3
73,US-2015-134026,4/26/15 0:00,4/26/15 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,38109,United States,Memphis,Tennessee,South,"35,517491","-86,580447",Cassandra Brandow,FUR-CH-10000513,High-Back Leather Manager's Chair,Chairs,Furniture,Not,"831,936",8,"0,2","-114,3912","946,3272","118,2909","103,992",0
74,US-2015-134026,4/26/15 0:00,4/26/15 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,38109,United States,Memphis,Tennessee,South,"35,517491","-86,580447",Cassandra Brandow,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,Furniture,Not,"97,04",2,"0,2","1,213","95,827","47,9135","48,52",0
75,US-2015-134026,4/26/15 0:00,4/26/15 0:00,Standard Class,JE-15745,Joel Eaton,Consumer,38109,United States,Memphis,Tennessee,South,"35,517491","-86,580447",Cassandra Brandow,OFF-ST-10004123,Safco Industrial Wire Shelving System,Storage,Office Supplies,Not,"72,784",1,"0,2","-18,196","90,98","90,98","72,784",0
76,US-2017-118038,9/12/17 0:00,11/12/17 0:00,First Class,KB-16600,Ken Brennan,Corporate,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-BI-10004182,Economy Binders,Binders,Office Supplies,Not,"1,248",3,"0,8","-1,9344","3,1824","1,0608","0,416",61
77,US-2017-118038,9/12/17 0:00,11/12/17 0:00,First Class,KB-16600,Ken Brennan,Corporate,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furnishings,Furniture,Not,"9,708",3,"0,6","-5,8248","15,5328","5,1776","3,236",61
78,US-2017-118038,9/12/17 0:00,11/12/17 0:00,First Class,KB-16600,Ken Brennan,Corporate,77041,United States,Houston,Texas,Central,"31,968599","-99,901813",Kelly Williams,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,Office Supplies,Not,"27,24",3,"0,2","2,724","24,516","8,172","9,08",61
